X,Y,OBJECTID,FULLNAME,NAME,ENTRANCENAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,VEHICLEENTRANCE,GREENWAYENTRANCE,PEDESTRIANENTRANCE,PARKINGSTREET,PARKINGLOT,CAMPING
2022542.27750972,746032.64624998,11,American Tobacco Trail - Montvale Ridge Dr Greenway Entrance,American Tobacco Trail,Montvale Ridge Dr Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
2023022.5170348,744099.551362887,12,American Tobacco Trail - Morrisville Pkwy Greenway Entrance,American Tobacco Trail,Morrisville Pkwy Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
2015764.62341414,714932.970260471,13,American Tobacco Trail - New Hill Entrance,American Tobacco Trail - New Hill Entrance,New Hill Entrance,,,Wake County,"1309 New Hill-Olive Chapel Road, Apex, NC 27502","1309 New Hill-Olive Chapel Road, Apex, NC 27502",https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.714336,-78.946984,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,
2020357.99972606,720218.812379062,14,American Tobacco Trail - Olive Chapel Rd Greenway Entrance,American Tobacco Trail,Olive Chapel Rd Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
2023682.20206714,742877.057416812,15,American Tobacco Trail - Piershill Ln Greenway Entrance,American Tobacco Trail,Piershill Ln Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
2022008.66374755,746401.485735387,16,American Tobacco Trail - Weldon Ridge Greenway Entrance,American Tobacco Trail,Weldon Ridge Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
2023203.90938856,733036.146652475,17,American Tobacco Trail - White Oak Creek Greenway Entrance,American Tobacco Trail,White Oak Creek Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
2022818.43870281,741099.206313729,18,American Tobacco Trail - White Oak Entrance,American Tobacco Trail - White Oak Entrance,White Oak Entrance,,,Wake County,"1305 White Oak Church Road, Apex, NC 27523",,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,
2023461.51550063,731845.32390289,19,American Tobacco Trail - Wimberly Rd Entrance,American Tobacco Trail - Wimberly Rd Entrance,Wimberly Rd Entrance,,,Wake County,"1017 Wimberly Road, Apex, NC 27502","1017 Wimberly Road, Apex, NC 27502",https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,35.760054,-78.920102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,
2135609.5910728,736518.144609734,20,Anderson Point Park - Anderson Point Dr Entrance,Anderson Point Park,Anderson Point Dr Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,
2134417.48190847,736542.052042231,21,Anderson Point Park - Greenway Entrance,Anderson Point Park,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
2136129.99980889,734217.312269151,22,Anderson Point Park - Greenway Entrance,Anderson Point Park,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
2136421.74758497,736451.527945057,23,Anderson Point Park - Pedestrian Entrance,Anderson Point Park,Pedestrian Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2135484.10772797,737270.95511198,24,Anderson Point River Access - Anderson Point Dr Entrance,Anderson Point River Access,Anderson Point Dr Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,Yes,Yes,Yes,No,Yes,
2135517.59060064,737174.108520895,25,Anderson Point River Access - Greenway Entrance,Anderson Point River Access,Greenway Entrance,Neuse River Trail Access,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,Yes,Yes,No,No,
2135599.00776064,736798.794967055,26,Anderson Point River Access - Greenway Entrance,Anderson Point River Access,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,Yes,Yes,No,No,
2136319.69103055,736747.264886394,27,Anderson Point River Access - Pedestrian Entrance,Anderson Point River Access,Pedestrian Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,No,Yes,No,No,
2055076.13731064,732091.448082566,28,Annie L. Jones Park - Greenway Entrance,Annie L. Jones Park,Greenway Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,Yes,Yes,No,No,
2055288.37934022,731729.376956314,29,Annie L. Jones Park - Greenway Entrance,Annie L. Jones Park,Greenway Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,Yes,Yes,No,No,
2055941.99975213,731773.687235147,30,Annie L. Jones Park - Pedestrian Entrance,Annie L. Jones Park,Pedestrian Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,No,Yes,No,No,
2055351.5803293,731748.968124479,31,Annie L. Jones Park - Tarbert Dr Entrance,Annie L. Jones Park,Tarbert Dr Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,
2118158.08365305,793275.457604066,32,"Annie Louise Wilkerson, MD Nature Preserve Park - Pedestrian Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Pedestrian Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve-park,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.92209582,-78.59883657,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2119719.9181278,790569.479092151,33,"Annie Louise Wilkerson, MD Nature Preserve Park - Pedestrian Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Pedestrian Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve-park,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.92209582,-78.59883657,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2118625.43704905,789647.93762815,34,"Annie Louise Wilkerson, MD Nature Preserve Park - Raven Ridge Rd Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Raven Ridge Rd Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve-park,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.92209582,-78.59883657,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
2045619.60012139,722443.599924222,35,Apex Community Center - Hunter St Entrance,Apex Community Center,Hunter St Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
2045876.5421928,721830.350494564,36,Apex Community Center - N Mason St Entrance,Apex Community Center,N Mason St Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
2044997.56954131,722093.11112389,37,Apex Community Center - Pedestrian Entrance,Apex Community Center,Pedestrian Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2045389.93161747,721922.309628233,38,Apex Community Center - Pedestrian Entrance,Apex Community Center,Pedestrian Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2050858.87507589,730302.621279642,39,Apex Community Park - Greenway Entrance,Apex Community Park,Greenway Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
2050849.02470189,729618.349682316,40,Apex Community Park - Laura Duncan Rd Entrance,Apex Community Park,Laura Duncan Rd Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
2054899.85255823,727485.319171473,41,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2050840.70713322,729075.547946393,42,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2052133.77475706,727605.865846395,43,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2051519.92034172,728328.128837556,44,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2053423.48018289,726764.458736554,45,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2054610.73010497,726764.42461589,46,Apex Community Park (Lake Pine)- Lake Pine Dr Entrance,Apex Community Park (Lake Trail),Lake Pine Dr Entrance,Lake Pine,,Town of Apex,2101 Lake Pine Drive,1808 Lake Pine Drive,https://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.746843,-78.815963,,No,,,,,,,,,,,,,,,,Yes,,,,Yes,No,Yes,No,Yes,
2039633.69903547,720420.525558308,47,Apex Jaycee Park - Pedestrian Entrance,Apex Jaycee Park,Pedestrian Entrance,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.7316289999999,-78.8605709999999,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
2041362.07976505,721202.907195643,48,Apex Jaycee Park - W Williams St Entrance,Apex Jaycee Park,W Williams St Entrance,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.7316289999999,-78.8605709999999,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
2028139.84210198,715931.257962063,49,Apex Nature Park - Evans Rd Entrance,Apex Nature Park,Evans Rd Entrance,Seymour Athletic Fields,,Town of Apex,"2600 Evans Rd., Apex, NC","2500 Evans Rd., Apex, NC",https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,919-249-3402,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.717099,-78.905361,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
2029315.38535455,717508.99299556,50,Apex Nature Park - Pedestrian Entrance,Apex Nature Park,Pedestrian Entrance,Seymour Athletic Fields,,Town of Apex,"2600 Evans Rd., Apex, NC","2500 Evans Rd., Apex, NC",https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,919-249-3402,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.717099,-78.905361,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
